english_word,spanish_word,idk,idk
"hello","hola","1 interjection",""
"yes","sí","1 interjection",""
"no","no","1 interjection",""
"excuse me /2","perdón","1 interjection",""
"excuse me /3","disculpe","1 interjection",""
"may I?","permiso","1 interjection",""
"sorry","lo siento","1 interjection",""
"please","por favor","1 interjection",""
"thank-you","gracias","1 interjection",""
"you're welcome","de nada","1 interjection",""
"pardon?","¿perdón?","1 interjection",""
"okay","okay","1 interjection",""
"good","bueno","1 interjection",""
"welcome","bienvenido","1 interjection",""
"bye","chao","1 interjection",""
"goodbye","adiós","1 interjection",""
"mr","señor","1 interjection",""
"mrs","señora","1 interjection",""
"miss","señorita","1 interjection",""
"of course x1","claro","1 interjection",""
"no big deal","no importa","1 interjection",""
"peace","tranquilo","1 interjection",""
"how do you say ... in Spanish?","¿cómo se dice ... en español?","1 phrase language",""
"what is ... in English?","¿qué es ... en inglés?","1 phrase language",""
"I speak Spanish","hablo español","1 phrase language",""
"I don't speak Spanish","no hablo español","1 phrase language",""
"do you speak English?","¿hablas inglés?","1 phrase language",""
"a little","un poco","1 phrase language",""
"I don't speak very well","no hablo muy bien","1 phrase language",""
"I understand","entiendo","1 phrase language",""
"I don't understand","no entiendo","1 phrase language",""
"do you understand me?","¿me entiendes?","1 phrase language",""
"say again","dilo de nuevo","1 phrase language",""
"how do you spell that?","¿cómo lo deletreas?","1 phrase language",""
"what is that?","¿qué es ese?","1 phrase language",""
"I don't know","no lo sé","1 phrase language",""
"you speak too fast","hablas demasiado rápido","1 phrase language",""
"please speak slowly","habla lento por favor","1 phrase language",""
"is that correct?","¿es correcto?","1 phrase language",""
"Is that correct Spanish?","¿es buen español?","1 phrase language",""
"do you have a room?","¿tiene un cuarto?","1 phrase travel",""
"take a photo of me","sácame una foto","1 phrase travel",""
"I have a problem","tengo un problema","1 phrase travel",""
"where is Florida Avenue?","¿dónde esta avenida florida?","1 phrase travel",""
"how much is it?","¿cuánto cuesta?","1 phrase trade",""
"I`m just looking","estoy mirando","1 phrase trade",""
"good morning /2","buenos días","1 phrase conversation",""
"good morning /1","buen día","1 phrase conversation",""
"good afternoon","buenas tardes","1 phrase conversation",""
"good evening","buenas noches","1 phrase conversation",""
"how are you? /1","¿qué tal?","1 phrase conversation",""
"how are you? /2","¿cómo estás?","1 phrase conversation",""
"how is it going? /1 @arg","¿cómo vas?","1 phrase conversation",""
"how is it going? /2 @arg","¿cómo andas?","1 phrase conversation",""
"how is it going sir? /2","¿cómo anda?","1 phrase conversation",""
"fine thanks","bien gracias","1 phrase conversation",""
"what's happening?","¿qué pasa?","1 phrase conversation",""
"what happened?","¿qué pasó?","1 phrase conversation",""
"what is your name? x3","¿cómo te llamas?","1 phrase conversation",""
"what is your name? x4","¿cuál es tu nombre?","1 phrase conversation",""
"I am called Roger","me llamo Roger","1 phrase conversation",""
"my name is Roger","mi nombre es roger","1 phrase conversation",""
"I am Roger","soy roger","1 phrase conversation",""
"nice to meet you x1","encantado","1 phrase conversation",""
"nice to meet you x2","mucho gusto","1 phrase conversation",""
"likewise","igualmente","1 phrase conversation",""
"where are you from?","¿de dónde eres?","1 phrase conversation",""
"I am Australian","soy australiano","1 phrase conversation",""
"where do you live?","¿dónde vives?","1 phrase conversation",""
"I live here","vivo acá","1 phrase conversation",""
"how long are you here?","por cuánto tiempo estás acá?","1 phrase conversation",""
"I am here for 1 month","estoy acá por un mes","1 phrase conversation",""
"when did you arrive?","¿cuándo llegaste?","1 phrase conversation",""
"I arrived today","llegué hoy","1 phrase conversation",""
"what do you do? x2","¿qué haces?","1 phrase conversation",""
"what do you do? x4","¿a qué te dedicas?","1 phrase conversation",""
"I am a porn star","soy estrella porno","1 phrase conversation",""
"what do you do for fun?","¿qué haces para divertirte?","1 phrase conversation",""
"I like running","me gusta correr","1 phrase conversation",""
"how old are you?","¿cuántos años tienes?","1 phrase conversation",""
"I am 30","tengo treinta años","1 phrase conversation",""
"what time is it?","¿qué hora es?","1 phrase time",""
"It's 10am","son las diez","1 phrase time",""
"more or less","más o menos","1 phrase",""
"I am hungry","tengo hambre","1 idiom",""
"I am thirsty","tengo sed","1 idiom",""
"I am sleepy","tengo sueño","1 idiom",""
"zero","cero","1 number",""
"one","uno","1 number",""
"two","dos","1 number",""
"three","tres","1 number",""
"four","cuatro","1 number",""
"five","cinco","1 number",""
"six","seis","1 number",""
"seven","siete","1 number",""
"eight","ocho","1 number",""
"nine","nueve","1 number",""
"ten","diez","1 number",""
"eleven","once","1 number",""
"twelve","doce","1 number",""
"thirteen","trece","1 number",""
"fourteen","catorce","1 number",""
"fifteen","quince","1 number",""
"sixteen","dieciséis","1 number",""
"seventeen","diecisiete","1 number",""
"eighteen","dieciocho","1 number",""
"nineteen","diecinueve","1 number",""
"twenty","veinte","1 number",""
"thirty","treinta","1 number",""
"forty","cuarenta","1 number",""
"fifty","cincuenta","1 number",""
"sixty","sesenta","1 number",""
"seventy","setenta","1 number",""
"eighty","ochenta","1 number",""
"ninety","noventa","1 number",""
"one hundred","cien","1 number",""
"two hundred","doscientos","1 number",""
"three hundred","trescientos","1 number",""
"four hundred","cuatrocientos","1 number",""
"five hundred","quinientos","1 number",""
"six hundred","seiscientos","1 number",""
"seven hundred","setecientos","1 number",""
"eight hundred","ochocientos","1 number",""
"nine hundred","novecientos","1 number",""
"one thousand","mil","1 number",""
"one million","un millón","1 number",""
"who","quién","1 interrogative",""
"what","qué","1 interrogative",""
"when","cuándo","1 interrogative",""
"where","dónde","1 interrogative",""
"why","por qué","1 interrogative",""
"which","cuál","1 interrogative",""
"how","cómo","1 interrogative",""
"how long","cuánto tiempo","1 interrogative",""
"how much","cuánto","1 interrogative",""
"how often","cada cuánto","1 interrogative",""
"at where","adónde","1 interrogative",""
"I","yo","1 pronoun subject",""
"you","tú","1 pronoun subject",""
"you @arg","vos","1 pronoun subject",""
"you sir ","usted","1 pronoun subject",""
"he","él","1 pronoun subject",""
"she","ella","1 pronoun subject",""
"we","nosotros","1 pronoun subject",""
"youz","ustedes","1 pronoun subject",""
"they :m","ellos","1 pronoun subject",""
"they :f","ellas","1 pronoun subject",""
"I see me","me veo","1 pronoun object",""
"I see you","te veo","1 pronoun object",""
"I see him","lo veo","1 pronoun object",""
"I see her","la veo","1 pronoun object",""
"I see us","nos veo","1 pronoun object",""
"I see youz","los veo","1 pronoun object",""
"I see m:them","los veo","1 pronoun object",""
"I see f:them","las veo","1 pronoun object",""
"for me","para mí","1 pronoun prepositional",""
"for you","para ti","1 pronoun prepositional",""
"for him","para él","1 pronoun prepositional",""
"for her","para ella","1 pronoun prepositional",""
"for us","para nosotros","1 pronoun prepositional",""
"for youz","para ustedes","1 pronoun prepositional",""
"for m:them","para ellos","1 pronoun prepositional",""
"for f:them","para ellas","1 pronoun prepositional",""
"nothing","nada","1 pronoun indefinite",""
"something","algo","1 pronoun indefinite",""
"this :f","ésta","1 pronoun demonstrative",""
"this :m","éste","1 pronoun demonstrative",""
"this :n","esto","1 pronoun demonstrative",""
"that :f","ésa","1 pronoun demonstrative",""
"that :m","ése","1 pronoun demonstrative",""
"that :n","eso","1 pronoun demonstrative",""
"these :f","éstas","1 pronoun demonstrative",""
"these :m","éstos","1 pronoun demonstrative",""
"those :f","ésas","1 pronoun demonstrative",""
"those :m","ésos","1 pronoun demonstrative",""
"mine","mío","1 pronoun demonstrative",""
"yours","tuyo","1 pronoun demonstrative",""
"his","suyo","1 pronoun demonstrative",""
"ours","nuestro","1 pronoun demonstrative",""
"yourzs","suyo","1 pronoun demonstrative",""
"theirs","suyo","1 pronoun demonstrative",""
"to be","ser","1 copula",""
"I am","yo soy","1 copula",""
"you are","tú eres","1 copula",""
"you are @arg","vos sos","1 copula",""
"he is","él es","1 copula",""
"she is","ella es","1 copula",""
"we are","nosotros somos","1 copula",""
"youz are","ustedes son","1 copula",""
"m:they are","ellos son","1 copula",""
"f:they are","ellas son","1 copula",""
"there is","hay","1 copula",""
"there was","había","1 copula",""
"to be now","estar","1 copula",""
"I am now","yo estoy","1 copula",""
"you are now","tú estás","1 copula",""
"you are now @arg","vos estás","1 copula",""
"he is now","él está","1 copula",""
"she is now","ella está","1 copula",""
"we are now","nosotros estamos","1 copula",""
"youz are","ustedes están","1 copula",""
"m:they are now","ellos están","1 copula",""
"f:they are now","ellas están","1 copula",""
"here /á","acá","1 adverb navigation",""
"here /í","aquí","1 adverb navigation",""
"just there","ahí","1 adverb navigation",""
"there","allí","1 adverb navigation",""
"over there","allá","1 adverb navigation",""
"up","arriba","1 adverb navigation",""
"down","abajo","1 adverb navigation",""
"right now @peru","ahorita","1 adverb temporal",""
"still","todavía","1 adverb temporal",""
"yet","todavía","1 adverb temporal",""
"already","ya","1 adverb temporal",""
"always","siempre","1 adverb temporal",""
"never","nunca","1 adverb temporal",""
"now","ahora","1 adverb temporal",""
"later","más tarde","1 adverb temporal",""
"yesterday","ayer","1 adverb temporal",""
"today","hoy","1 adverb temporal",""
"tomorrow","mañana","1 adverb temporal",""
"too much","demasiado","1 adverb",""
"like that","así","1 adverb",""
"enough","bastante","1 adverb",""
"slowly","despacio","1 adverb",""
"fast","rápido","1 adverb",""
"not","no","1 adverb",""
"maybe x1","quizás","1 adverb",""
"maybe x2","tal vez","1 adverb",""
"very","muy","1 adverb",""
"much","mucho","1 adverb",""
"as much","tanto","1 adverb",""
"well","bien","1 adverb",""
"also","también","1 adverb",""
"neither","tampoco","1 adverb",""
"only","sólo","1 adverb",""
"my friend","mi amigo","1 determiner personal",""
"my friends","mis amigos","1 determiner personal",""
"your friend","tu amigo","1 determiner personal",""
"your friends","tus amigos","1 determiner personal",""
"yourz friend","su amigo","1 determiner personal",""
"yourz friends","sus amigos","1 determiner personal",""
"his friend","su amigo","1 determiner personal",""
"his friends","sus amigos","1 determiner personal",""
"her friend","su amigo","1 determiner personal",""
"her friends","sus amigos","1 determiner personal",""
"their friend","su amigo","1 determiner personal",""
"their friends","sus amigos","1 determiner personal",""
"our m:friend","nuestro amigo","1 determiner personal",""
"our m:friends","nuestros amigos","1 determiner personal",""
"our f:friend","nuestra amiga","1 determiner personal",""
"our f:friends","nuestras amigas","1 determiner personal",""
"a boy","un chico","1 determiner",""
"a girl","una chica","1 determiner",""
"the boy","el chico","1 determiner",""
"the girl","la chica","1 determiner",""
"this boy","este chico","1 determiner",""
"this girl","esta chica","1 determiner",""
"that boy","ese chico","1 determiner",""
"that girl","esa chica","1 determiner",""
"these boys","estos chicos","1 determiner",""
"these girls","estas chicas","1 determiner",""
"those boys","esos chicos","1 determiner",""
"those girls","esas chicas","1 determiner",""
"some boys","unos chicos","1 determiner",""
"some girls","unas chicas","1 determiner",""
"all","todo","1 determiner",""
"and","y","1 conjunction",""
"or","o","1 conjunction",""
"if","si","1 conjunction",""
"but","pero","1 conjunction",""
"because","porque","1 conjunction",""
"in that case","entonces","1 conjunction",""
"at","a","1 preposition",""
"in","en","1 preposition",""
"of","de","1 preposition",""
"for /1","por","1 preposition",""
"for /2","para","1 preposition",""
"with","con","1 preposition",""
"without","sin","1 preposition",""
"from","de","1 preposition",""
"to","a","1 preposition",""
"until","hasta","1 preposition",""
"since","desde","1 preposition",""
"about","sobre","1 preposition",""
"behind","atrás","1 preposition",""
"in front","en frente","1 preposition",""
"with me","conmigo","1 preposition",""
"with you","contigo","1 preposition",""
"nor","ni","1 preposition",""
"to be","ser =<~""","1 verb passive",""
"to be now","estar <""","1 verb passive",""
"to have","tener <>g/","1 verb passive",""
"to x/have","haber =<>","1 verb passive",""
"to live","vivir","1 verb passive",""
"to be able to","poder <>/","1 verb passive",""
"to know","saber =<>","1 verb passive",""
"to know of","conocer ""","1 verb passive",""
"to understand /t","entender /","1 verb passive",""
"to think","pensar /","1 verb passive",""
"to want","querer <>/","1 verb passive",""
"to feel","sentir /^","1 verb passive",""
"to like","gustar","1 verb passive",""
"to love","amar","1 verb passive",""
"to forget","olvidar","1 verb passive",""
"to believe","creer ""","1 verb passive",""
"to need","necesitar","1 verb passive",""
"to be short","faltar","1 verb passive",""
"to owe","deber","1 verb passive",""
"to let","dejar","1 verb passive",""
"to hope","esperar","1 verb passive",""
"to win","ganar","1 verb passive",""
"to lose","perder /","1 verb passive",""
"to go","ir =<~","1 verb motive",""
"to go out","salir >g","1 verb motive",""
"to come","venir <>g/^","1 verb motive",""
"to arrive","llegar ""","1 verb motive",""
"to follow","seguir ^""","1 verb motive",""
"to stay","quedarse","1 verb motive",""
"to put","poner <>g","1 verb motive",""
"to return","regresar","1 verb motive",""
"to pass","pasar","1 verb motive",""
"to bring","traer ""g<","1 verb motive",""
"to pass through","pasear","1 verb motive",""
"to turn","doblar","1 verb motive",""
"to stop","parar","1 verb motive",""
"to take out","sacar ""","1 verb motive",""
"to go up","subir","1 verb motive",""
"to go down","bajar","1 verb motive",""
"to speak","hablar","1 verb communicative",""
"to listen","escuchar","1 verb communicative",""
"to say","decir <>g^","1 verb communicative",""
"to see","ver =~","1 verb communicative",""
"to look","mirar","1 verb communicative",""
"to read","leer","1 verb communicative",""
"to write","escribir","1 verb communicative",""
"to ask","preguntar","1 verb communicative",""
"to request","pedir ^","1 verb communicative",""
"to be called","llamar","1 verb communicative",""
"to send","enviar","1 verb communicative",""
"to receive","recibir","1 verb communicative",""
"to repeat","repetir ^","1 verb communicative",""
"to mean x1","significar","1 verb communicative",""
"to mean x2","querer decir","1 verb communicative",""
"to do","hacer <>g","1 verb active",""
"to use","usar","1 verb active",""
"to study","estudiar","1 verb active",""
"to learn","aprender","1 verb active",""
"to find","encontrar /","1 verb active",""
"to give","dar <""","1 verb active",""
"to take","tomar","1 verb active",""
"to eat","comer","1 verb active",""
"to drink","beber","1 verb active",""
"to work","trabajar","1 verb active",""
"to look for","buscar","1 verb active",""
"to travel","viajar","1 verb active",""
"to pay","pagar","1 verb active",""
"to buy","comprar","1 verb active",""
"to sell","vender","1 verb active",""
"to rent","alquilar","1 verb active",""
"to change","cambiar","1 verb active",""
"to help","ayudar","1 verb active",""
"to begin","empezar /=","1 verb active",""
"to eat breakfast","desayunar","1 verb active",""
"to eat lunch","almorzar ""/","1 verb active",""
"to eat dinner","cenar","1 verb active",""
"I go","voy *","1 conjugation",""
"you go","vas *","1 conjugation",""
"he goes","va *","1 conjugation",""
"they go","van *","1 conjugation",""
"youz go","van *","1 conjugation",""
"we go","vamos *","1 conjugation",""
"I give","doy *","1 conjugation",""
"I am","soy =","1 conjugation",""
"I know","sé =","1 conjugation",""
"I have","tengo g","1 conjugation",""
"I go out","salgo g","1 conjugation",""
"I come","vengo g","1 conjugation",""
"I put","pongo g","1 conjugation",""
"I bring","traigo g","1 conjugation",""
"I say","digo g","1 conjugation",""
"I hear","oigo g","1 conjugation",""
"I do","hago g","1 conjugation",""
"He has","tiene /","1 conjugation",""
"I want","quiero /","1 conjugation",""
"I can","puedo /","1 conjugation",""
"I understand","entiendo /","1 conjugation",""
"I think","pienso /","1 conjugation",""
"I feel","siento /","1 conjugation",""
"I prefer","prefiero /","1 conjugation",""
"I turn around","vuelvo /","1 conjugation",""
"I lose","pierdo /","1 conjugation",""
"he comes","viene /","1 conjugation",""
"I sit","me siento /","1 conjugation",""
"I descend","desciendo /","1 conjugation",""
"I count","cuento /","1 conjugation",""
"I find","encuentro /","1 conjugation",""
"I eat lunch","almuerzo /","1 conjugation",""
"I have eaten","he comido","1 conjugation",""
"you have eaten","has comido","1 conjugation",""
"he has eaten","ha comido","1 conjugation",""
"we have eaten","hemos comido","1 conjugation",""
"youz have eaten","han comido","1 conjugation",""
"they have eaten","han comido","1 conjugation",""
"come!","ven *","1 conjugation",""
"say!","di *","1 conjugation",""
"I was <","fui <","1 conjugation",""
"I was then <","estuve <","1 conjugation",""
"I had <","tuve <","1 conjugation",""
"I wanted <","quise <","1 conjugation",""
"I could <","pude <","1 conjugation",""
"I knew <","supe <","1 conjugation",""
"I went <","fui <","1 conjugation",""
"I said <","dije <","1 conjugation",""
"I did <","hice <","1 conjugation",""
"I know of","conozco ""","1 conjugation",""
"you say","dices ^","1 conjugation",""
"one dog / two dogs","un perro / dos perros","1 syntax",""
"to have to","tener que","1 pattern",""
"it is necessary","hay que","1 pattern",""
"I eat","como","1 pattern",""
"I can eat","puedo comer","1 pattern",""
"I must eat","tengo que comer","1 pattern",""
"I am going to eat","voy a comer","1 pattern",""
"I like","me gusta","1 pattern",""
"good","bueno","1 adjective quality",""
"better","mejor","1 adjective quality",""
"best","lo mejor","1 adjective quality",""
"bad","mal","1 adjective quality",""
"worse","peor","1 adjective quality",""
"worst","lo peor","1 adjective quality",""
"excellent","excelente","1 adjective quality",""
"same","mismo","1 adjective quality",""
"the same","lo mismo","1 adjective quality",""
"different","diferente","1 adjective quality",""
"terrible","terrible","1 adjective quality",""
"cheap","barato","1 adjective quality",""
"expensive /2","caro","1 adjective quality",""
"expensive /3","costoso","1 adjective quality",""
"interesting","interesante","1 adjective quality",""
"big","grande","1 adjective condition",""
"small","pequeño","1 adjective condition",""
"difficult","difícil","1 adjective condition",""
"easy","fácil","1 adjective condition",""
"new","nuevo","1 adjective condition",""
"dangerous","peligroso","1 adjective condition",""
"important","importante","1 adjective condition",""
"wrong","equivocado","1 adjective state",""
"correct","correcto","1 adjective state",""
"cold","frío","1 adjective state",""
"hot","caliente","1 adjective state",""
"open","abierto","1 adjective state",""
"closed","cerrado","1 adjective state",""
"clean","limpio","1 adjective state",""
"dirty","sucio","1 adjective state",""
"far","lejos","1 adjective state",""
"near","cerca","1 adjective state",""
"rich","rico","1 adjective state",""
"happy","alegre","1 adjective emotion",""
"crazy","loco","1 adjective personality",""
"intelligent","inteligente","1 adjective personality",""
"white","blanco","1 adjective colour",""
"black","negro","1 adjective colour",""
"red","rojo","1 adjective colour",""
"blue","azul","1 adjective colour",""
"green","verde","1 adjective colour",""
"orange","naranja","1 adjective colour",""
"yellow","amarillo","1 adjective colour",""
"early","temprano","1 adjective temporal",""
"late","tarde","1 adjective temporal",""
"left","izquierda","1 adjective",""
"right","derecho","1 adjective",""
"less","menos","1 adjective",""
"more","más","1 adjective",""
"a word","una palabra","1 noun language",""
"a hotel","un hotel","1 noun travel",""
"a hostel","un hostel","1 noun travel",""
"lodgings","el hospedaje","1 noun travel",""
"a room /4","una habitación","1 noun travel",""
"a room /2","un cuarto","1 noun travel",""
"the bed","la cama","1 noun travel",""
"the internet","el internet","1 noun travel",""
"a telephone","un teléfono","1 noun travel",""
"the key","la llave","1 noun travel",""
"the station","la estación","1 noun travel",""
"the train","el tren","1 noun travel",""
"the bus","el bus","1 noun travel",""
"the metro","el metro","1 noun travel",""
"a car","un carro","1 noun travel",""
"a taxi","un taxi","1 noun travel",""
"a plane","un avión","1 noun travel",""
"a ticket","una boleta","1 noun travel",""
"part","el parte","1 noun travel",""
"a country","un país","1 noun travel",""
"information","la información","1 noun travel",""
"a photo","una foto","1 noun travel",""
"a map","un mapa","1 noun travel",""
"money /3","el dinero","1 noun trade",""
"money /2","la plata","1 noun trade",""
"an atm","un cajero automático","1 noun trade",""
"credit card","la tarjeta de crédito","1 noun trade",""
"a dollar","un dólar","1 noun trade",""
"a cent","un centavo","1 noun trade",""
"a cent @peru","un céntimo","1 noun trade",""
"an account","una cuenta","1 noun trade",""
"the receipt","la factura","1 noun trade",""
"small change","el sencillo","1 noun trade",""
"the time","el tiempo","1 noun time",""
"a second","un segundo","1 noun time",""
"a minute","un minuto","1 noun time",""
"an hour","una hora","1 noun time",""
"a day","un día","1 noun time",""
"a week","una semana","1 noun time",""
"a month","un mes","1 noun time",""
"a year","un año","1 noun time",""
"one time","una vez","1 noun time",""
"people","la gente","1 noun people",""
"a person","una persona","1 noun people",""
"a man","un hombre","1 noun people",""
"a woman","una mujer","1 noun people",""
"a boy /2","un chico","1 noun people",""
"a boy /3","un muchacho","1 noun people",""
"a girl","una chica","1 noun people",""
"a m:friend","un amigo","1 noun people",""
"a f:friend","una amiga","1 noun people",""
"children","los niños","1 noun people",""
"a f:child","una niña","1 noun people",""
"a m:child","un niño","1 noun people",""
"a fool @arg","un boludo","1 noun people slang",""
"boyfriend /2","el novio","1 noun love",""
"girlfriend /2","la novia","1 noun love",""
"boyfriend /5","el enamorado","1 noun love",""
"girlfriend /5","la enamorada","1 noun love",""
"food","la comida","1 noun food",""
"drinks","las bebidas","1 noun food",""
"a bag","una bolsa","1 noun food",""
"breakfast","el desayuno","1 noun food",""
"lunch","el almuerzo","1 noun food",""
"dinner","la cena","1 noun food",""
"milk","la leche","1 noun food",""
"cheese","el queso","1 noun food",""
"yoghurt","el yogur","1 noun food",""
"icecream","el helado","1 noun food",""
"bread","el pan","1 noun food",""
"rice","el arroz","1 noun food",""
"fruit","la fruta","1 noun food",""
"vegetables","los vegetales","1 noun food",""
"green vegetables","las verduras","1 noun food",""
"sugar","el/la azúcar","1 noun food",""
"meat","la carne","1 noun food",""
"an apple","una manzana","1 noun food",""
"an orange","una naranja","1 noun food",""
"a mandarin","una mandarina","1 noun food",""
"a banana","un plátano","1 noun food",""
"a potato","una papa","1 noun food",""
"chicken","el pollo","1 noun food",""
"fried chicken","el pollo frito","1 noun food",""
"beef","la carne","1 noun food",""
"fish","el pescado","1 noun food",""
"a prawn","un langostino","1 noun food",""
"chocolate","el chocolate","1 noun food",""
"a tea","un té","1 noun drinks",""
"a coffee","un café","1 noun drinks",""
"water","el f:agua","1 noun drinks",""
"a beer","una cerveza","1 noun drinks",""
"a soft drink","una gaseosa","1 noun drinks",""
"a juice","un jugo","1 noun drinks",""
"an orange juice","un jugo de naranja","1 noun drinks",""
"alcohol","el alcohol","1 noun drinks",""
"an alcoholic drink","un trago","1 noun drinks",""
"wine","el vino","1 noun drinks",""
"red wine","el vino tinto","1 noun drinks",""
"clothes","la ropa","1 noun clothes",""
"a tshirt /2","un polo","1 noun clothes",""
"a jumper","un jumper","1 noun clothes",""
"a dress","un vestido","1 noun clothes",""
"shorts","el short","1 noun clothes",""
"jeans","el jean","1 noun clothes",""
"shoes","los zapatos","1 noun clothes",""
"socks","las medias","1 noun clothes",""
"underpants","la ropa interior","1 noun clothes",""
"house","la casa","1 noun house",""
"the bathroom","el baño","1 noun house",""
"bedroom","el cuarto","1 noun house",""
"kitchen","la cocina","1 noun house",""
"a fork","un tenedor","1 noun house",""
"a knife","un cuchillo","1 noun house",""
"a spoon","una cuchara","1 noun house",""
"a plate","un plato","1 noun house",""
"a cat","un gato","1 noun animals",""
"a dog","un perro","1 noun animals",""
"life","la vida","1 noun nature",""
"the world","el mundo","1 noun nature",""
"the sea","el mar","1 noun nature",""
"beach","la playa","1 noun nature",""
"river","el río","1 noun nature",""
"lake","el lago","1 noun nature",""
"rain","la lluvia","1 noun nature",""
"heat","el calor","1 noun nature",""
"countryside","el campo","1 noun nature",""
"a tree","un árbol","1 noun nature",""
"work","el trabajo","1 noun business",""
"the date","la fecha","1 noun date",""
"a person from BA @arg","un porteño","1 noun demonym slang",""
"a film","una película","1 noun entertainment",""
"the cinema","el cine","1 noun entertainment",""
"danger","el peligro","1 noun intangible",""
"the street","la calle","1 noun navigation",""
"an avenue","una avenida","1 noun navigation",""
"a block","una cuadra","1 noun navigation",""
"the corner","la esquina","1 noun navigation",""
"a place","un lugar","1 noun navigation",""
"the exit","la salida","1 noun navigation",""
"the city","la ciudad","1 noun place",""
"a village","un pueblo","1 noun place",""
"a building ","un edificio","1 noun place",""
"the bus stop","el paradero","1 noun place",""
"the park","el parque","1 noun place",""
"a restaurant","un restaurante","1 noun place",""
"a shop","una tienda","1 noun place",""
"the market","el mercado","1 noun place",""
"the center","el centro","1 noun place",""
"a book","un libro","1 noun study",""
"a cell phone","un celular","1 noun technology",""
"a message","un mensaje","1 noun technology",""
"an sms","un mensaje de texto","1 noun technology",""
"a thing","una cosa","1 noun",""
"a name","un nombre","1 noun",""
"a little bit","un poquito","1 noun",""
"help","la ayuda","1 noun",""
"Spanish","el español","1 name language",""
"English","el inglés","1 name language",""
"monday","el lunes","1 name date",""
"tuesday","el martes","1 name date",""
"wednesday","el miércoles","1 name date",""
"thursday","el jueves","1 name date",""
"friday","el viernes","1 name date",""
"saturday","el sábado","1 name date",""
"sunday","el domingo","1 name date",""
"january","el enero","1 name date",""
"february","el febrero","1 name date",""
"march","el marzo","1 name date",""
"april","el abril","1 name date",""
"may","el mayo","1 name date",""
"june","el junio","1 name date",""
"july","el julio","1 name date",""
"august","el agosto","1 name date",""
"september","el septiembre","1 name date",""
"october","el octubre","1 name date",""
"november","el noviembre","1 name date",""
"december","el diciembre","1 name date",""
"hey! @arg","che","2 interjection slang",""
"cool! @arg","copado","2 interjection slang",""
"bugger @peru","pucha","2 interjection slang",""
"how cool @peru","que chevere","2 interjection slang",""
"shit","mierda","2 interjection slang",""
"pardon? @ecuador","¿manda?","2 interjection",""
"yup @peru","haber","2 interjection",""
"see you later","hasta luego","2 interjection",""
"see you again","nos vemos","2 interjection",""
"good luck","suerte","2 interjection",""
"take care","cuídate","2 interjection",""
"bon apetite","buen provecho","2 interjection",""
"cheers","salud","2 interjection",""
"look out!","mira!","2 interjection",""
"oh","uy","2 interjection",""
"oh my god","oh dios mío","2 interjection",""
"one moment","un momento","2 interjection",""
"hurry up","apúrate","2 interjection",""
"shut up!","cállate","2 interjection",""
"bless you","salud","2 interjection",""
"really?","¿en serio?","2 interjection",""
"be careful!","cuidado","2 interjection",""
"listen!","oye","2 interjection",""
"well ..","pues","2 interjection",""
"how strange","que raro","2 interjection",""
"okay then","dale","2 interjection",""
"I just arrived from Australia","acabo de llegar de Australia","2 phrase conversation",""
"how did you meet?","¿cómo se conocieron?","2 phrase conversation",""
"are you sure?","¿estás seguro?","2 phrase conversation",""
