english_word,spanish_word,idk,idk
"what have you done since we last saw each other?","¿que has hecho después de que nos vimos?","2 phrase conversation",""
"what did you say to her?","¿qué le dijiste?","2 phrase conversation",""
"have you ever been to Japan?","¿alguna vez fuiste a Japón?","2 phrase conversation",""
"I have to go","me tengo que ir","2 phrase conversation",""
"you're mean","eres mala","2 phrase conversation",""
"it's a joke!","es una broma","2 phrase conversation",""
"pay no attention to her","no le prestas atención a ella","2 phrase conversation",""
"I`m surprised","estoy sorprendido","2 phrase conversation",""
"I have a friend in Lima","tengo un amigo en Lima","2 phrase conversation",""
"I study by myself","estudio por mi cuenta","2 phrase conversation",""
"you look familiar","me pareces conocido","2 phrase conversation",""
"I love you","te quiero","2 phrase love",""
"I am in love","estoy enamorado","2 phrase love",""
"I miss you","te extraño","2 phrase love",""
"kiss me","bésame","2 phrase love",""
"sweet dreams","lindos sueños","2 phrase love",""
"what day is it?","¿qué día es?","2 phrase date",""
"what is the date?","¿cuál es la fecha?","2 phrase date",""
"get it? @peru","¿manyas?","2 phrase slang",""
"can you imagine? @peru","¿alucina?","2 phrase slang",""
"we`re going out","salimos","2 phrase",""
"something to do","algo que hacer","2 phrase",""
"something to talk about","algo de que hablar","2 phrase",""
"don't worry","no te preocupes","2 phrase",""
"I did nothing @arg","me rasque","2 idiom slang",""
"you're a hot dog @arg","sos un pancho","2 idiom slang",""
"you're a salami @arg","sos salami","2 idiom slang",""
"I agree","estoy de acuerdo","2 idiom",""
"of course x2","por supuesto","2 idiom",""
"no dramas","no pasa nada","2 idiom",""
"it depends","depende","2 idiom",""
"that's okay","está bien","2 idiom",""
"how funny","que risa","2 idiom",""
"how embarrassing","que vergüenza","2 idiom",""
"what a shame","que lástima","2 idiom",""
"whatever you want","como quieras","2 idiom",""
"not yet","todavía no","2 idiom",""
"you`re right","tienes razón","2 idiom",""
"I remember","me acuerdo","2 idiom",""
"let me see","dejas me ver","2 idiom",""
"let it grow","dejalo crecer","2 idiom",""
"I'm on the way","estoy en camino","2 idiom",""
"they don't get along","no se llevan bien","2 idiom",""
"happy Christmas","feliz navidad","2 idiom",""
"first","primero","2 number ordinal",""
"second","segundo","2 number ordinal",""
"third","tercero","2 number ordinal",""
"fourth","cuarto","2 number ordinal",""
"fifth","quinto","2 number ordinal",""
"sixth","sexto","2 number ordinal",""
"seventh","séptimo","2 number ordinal",""
"eighth","octavo","2 number ordinal",""
"ninth","noveno","2 number ordinal",""
"tenth","décimo","2 number ordinal",""
"half /2","la mitad","2 number",""
"half /3","la media","2 number",""
"a quarter","un cuarto","2 number",""
"anything","cualquier cosa","2 pronoun indefinite",""
"no-one /2","nadie","2 pronoun indefinite",""
"no-one /3","ninguno","2 pronoun indefinite",""
"someone /3","alguno","2 pronoun indefinite",""
"someone /2","alguien","2 pronoun indefinite",""
"someone else x2","alguien mas","2 pronoun indefinite",""
"someone else x1","algotro","2 pronoun indefinite",""
"anyone","cualquier persona","2 pronoun indefinite",""
"everyone x1","todos","2 pronoun indefinite",""
"everyone x2","cada uno","2 pronoun indefinite",""
"everyone x3","todo el mundo","2 pronoun indefinite",""
"nowhere","en ningún lugar","2 pronoun indefinite",""
"anywhere","cualquier lugar","2 pronoun indefinite",""
"somewhere","en algún lugar","2 pronoun indefinite",""
"everywhere","en todo lugar","2 pronoun indefinite",""
"both","ambos","2 pronoun indefinite",""
"later","luego","2 adverb temporal",""
"soon","pronto","2 adverb temporal",""
"often","a menudo","2 adverb temporal",""
"sometimes","a veces","2 adverb temporal",""
"occasionally","de vez en cuando","2 adverb temporal",""
"hardly","apenas","2 adverb temporal",""
"immediately /7","inmediatamente","2 adverb temporal",""
"lately","hace poco","2 adverb temporal",""
"recently","recientemente","2 adverb temporal",""
"again","de nuevo","2 adverb temporal",""
"for a long time","hace mucho tiempo","2 adverb temporal",""
"last night","anoche","2 adverb temporal",""
"forever","para siempre","2 adverb temporal",""
"firstly","primero","2 adverb",""
"together","juntos","2 adverb",""
"even","aun","2 adverb",""
"such","tal","2 adverb",""
"nearly","casi","2 adverb",""
"nearby","cerca","2 adverb",""
"really","realmente","2 adverb",""
"honestly","honestamente","2 adverb",""
"normally","normalmente","2 adverb",""
"unfortunately","desafortunadamente","2 adverb",""
"simply","simplemente","2 adverb",""
"hopefully","ojalá","2 adverb",""
"several boys","varios chicos","2 determiner",""
"several girls","varias chicas","2 determiner",""
"every boy","cada chico","2 determiner",""
"every girl","cada chica","2 determiner",""
"many boys","muchos chicos","2 determiner",""
"many girls","muchas chicas","2 determiner",""
"other boy","otro chico","2 determiner",""
"other girl","otra chica","2 determiner",""
"any","cualquier","2 determiner",""
"for that reason","por eso","2 conjunction",""
"for example","por ejemplo","2 conjunction",""
"if not","sino","2 conjunction",""
"except for","salvo","2 conjunction",""
"except","excepto","2 conjunction",""
"although","aunque","2 conjunction",""
"according to","según","2 conjunction",""
"while","mientras","2 conjunction",""
"however","sin embargo","2 conjunction",""
"minus","menos","2 preposition",""
"to the :m","al","2 preposition",""
"of the :m","del","2 preposition",""
"concerning","a propósito","2 preposition",""
"outside ","fuera","2 preposition",""
"inside","adentro","2 preposition",""
"ahead","adelante","2 preposition",""
"under","bajo","2 preposition",""
"from behind","detrás","2 preposition",""
"above","encima","2 preposition",""
"towards","hacia","2 preposition",""
"by","por","2 preposition",""
"during","durante","2 preposition",""
"around","acerca","2 preposition",""
"including","incluso","2 preposition",""
"within","dentro","2 preposition",""
"to seem","parecer ""","2 verb passive",""
"to look like","parecerse ""","2 verb passive",""
"to just finish","acabar","2 verb passive",""
"to desire","desear","2 verb passive",""
"to understand /p","comprender","2 verb passive",""
"to prefer","preferir /^","2 verb passive",""
"to miss","extrañar","2 verb passive",""
"to care","cuidar","2 verb passive",""
"to sleep","dormir /","2 verb passive",""
"to fulfill","cumplir","2 verb passive",""
"to keep","guardar","2 verb passive",""
"to wear","vestir ^","2 verb passive",""
"to decide","decidir","2 verb passive",""
"to weigh","pesar","2 verb passive",""
"to enjoy","disfrutar","2 verb passive",""
"to choose","escoger ""=","2 verb passive",""
"to pick","coger ""=","2 verb passive",""
"to keep quiet","callar","2 verb passive",""
"to be angry","enojar","2 verb passive",""
"to get bored","aburrirse","2 verb passive",""
"to dream","soñar /","2 verb passive",""
"to fear","temer","2 verb passive",""
"to cost /l","valer","2 verb passive",""
"to cost /t","costar","2 verb passive",""
"to last","durar","2 verb passive",""
"to hate","odiar","2 verb passive",""
"to function","funcionar","2 verb passive",""
"to doubt","dudar","2 verb passive",""
"to carry","llevar","2 verb motive",""
"to send off","despedir ^","2 verb motive",""
"to sit","sentarse /","2 verb motive",""
"to commence","comenzar /","2 verb motive",""
"to finish","terminar","2 verb motive",""
"to visit","visitar","2 verb motive",""
"to go by","andar <","2 verb motive",""
"to deliver","entregar ""","2 verb motive",""
"to throw","echar","2 verb motive",""
"to pull /r","tirar","2 verb motive",""
"to fall","caer ""g","2 verb motive",""
"to cross","cruzar ""","2 verb motive",""
"to drive","manejar","2 verb motive",""
"to pull /l","jalar","2 verb motive",""
"to push","empujar","2 verb motive",""
"to locate","ubicar ""","2 verb motive",""
"to hide","esconder","2 verb motive",""
"to run","correr","2 verb motive",""
"to walk","caminar","2 verb motive",""
"to get","lograr","2 verb motive",""
"to reach","lograr","2 verb motive",""
"to share","compartir","2 verb communicative",""
"to reject","rechazar ""","2 verb communicative",""
"to hear","oír g""","2 verb communicative",""
"to teach","enseñar","2 verb communicative",""
"to lie","mentir /^","2 verb communicative",""
"to cry","llorar","2 verb communicative",""
"to laugh","reír ^","2 verb communicative",""
"to explain","explicar","2 verb communicative",""
"to count","contar /","2 verb communicative",""
"to tell","contar /","2 verb communicative",""
"to chat","charlar","2 verb communicative",""
"to answer","contestar","2 verb communicative",""
"to show","mostrar /","2 verb communicative",""
"to guess","adivinar","2 verb communicative",""
"to advise","avisar","2 verb communicative",""
"to scare","asustar","2 verb communicative",""
"to make mistakes","equivocarse ""","2 verb communicative",""
"to excuse","disculpar","2 verb communicative",""
"to invite","invitar","2 verb communicative",""
"to present","presentar","2 verb communicative",""
"to correct","corregir ^=","2 verb communicative",""
"to introduce a person","presentar","2 verb communicative",""
"to pack","empacar","2 verb active travel",""
"to wake up","despertarse /","2 verb active",""
"to touch","tocar ""","2 verb active love",""
"to kiss","besar","2 verb active love",""
"to open","abrir","2 verb active",""
"to close","cerrar","2 verb active",""
"to play","jugar /","2 verb active",""
"to have fun","divertirse /^","2 verb active",""
"to spend","gastar","2 verb active",""
"to collect","cobrar","2 verb active",""
"to save (money)","ahorrar","2 verb active",""
"to create","crear","2 verb active",""
"to improve","mejorar","2 verb active",""
"to lend","prestar","2 verb active",""
"to add","agregar","2 verb active",""
"to surprise","sorprender","2 verb active",""
"to copy","copiar","2 verb active",""
"to program","programar","2 verb active",""
"to avoid","evitar","2 verb active",""
"to arrange","arreglar","2 verb active",""
"to break","romper","2 verb active",""
"to dedicate yourself","dedicarse ""","2 verb active",""
"to try (food)","probarse /","2 verb active",""
"to attempt","intentar","2 verb active",""
"to clean","limpiar","2 verb active",""
"to discover","descubrir","2 verb active",""
"to fight","pelear","2 verb active",""
"to annoy","molestar","2 verb active",""
"to fill","llenar","2 verb active",""
"to smell","oler ""/","2 verb active",""
"to tie","ligar ""","2 verb active",""
"to defend","defender","2 verb active",""
"to attack","atacar","2 verb active",""
"to bury","enterrar /","2 verb active",""
"to update","actualizar ""","2 verb active",""
"to put on make up","maquillar","2 verb active",""
"to throw away","botar","2 verb active",""
"to warm up","calentar /","2 verb active",""
"to swim","nadar","2 verb active",""
"to sing","cantar","2 verb active",""
"to dance","bailar","2 verb active",""
"to act","actuar","2 verb active",""
"to ski","esquiar ""","2 verb active",""
"to skate","patinar","2 verb active",""
"to draw","dibujar","2 verb active",""
"to die","morir /","2 verb active",""
"to be born","nacer ""","2 verb active",""
"to dry","secar","2 verb active",""
"to print","imprimir","2 verb active",""
"to save","salvar","2 verb active",""
"to burn","quemar","2 verb active",""
"to lie down","echarse","2 verb active",""
"to marry someone","casarse con alguien","2 combo love",""
"to be embarrassed","dar vergüenza","2 combo",""
"to take a photo @arg","sacar una foto","2 combo",""
"to notice","darse cuenta","2 combo",""
"to send a message","mandar un mensaje","2 combo",""
"to move house","mudar de casa","2 combo",""
"to meet people","conocer gente","2 combo",""
"to cycle","andar en bicicleta","2 combo",""
"to be lively","ser vivo","2 combo",""
"to be alive","estar vivo","2 combo",""
"to brush your teeth","cepillar tus dientes","2 combo",""
"to take a photo","tomar una foto","2 combo",""
"to ride a horse","montar un caballo","2 combo",""
"to look again","volver a buscar","2 combo",""
"to be used to","tener la costumbre","2 combo",""
"to be lucky","tener suerte","2 combo",""
"to play guitar","tocar guitarra","2 combo",""
"to carry someone","cargar alguien","2 combo",""
"I fall","caigo g","2 conjugation",""
"I lie","miento /","2 conjugation",""
"I try","me pruebo /","2 conjugation",""
"I bite","muerdo /","2 conjugation",""
"I smell","huelo /""","2 conjugation",""
"I bury","entierro /","2 conjugation",""
"I warm up","caliento /","2 conjugation",""
"I commence","comienzo /","2 conjugation",""
"do!","haz *","2 conjugation",""
"go!","ve *","2 conjugation",""
"go out!","sal *","2 conjugation",""
"I x/had <","hube <","2 conjugation",""
"I came <","vine <","2 conjugation",""
"I put <","puse <","2 conjugation",""
"I went by <","anduve <","2 conjugation",""
"I gave","di <","2 conjugation",""
"I was ~","era ~","2 conjugation",""
"I went ~","iba ~","2 conjugation",""
"I saw ~","veía ~","2 conjugation",""
"I would have","tendría >","2 conjugation",""
"I would x/have","habría >","2 conjugation",""
"I would want","querría >","2 conjugation",""
"I could >","podría >","2 conjugation",""
"I would know","sabría >","2 conjugation",""
"I would go out","saldría >","2 conjugation",""
"I would come","vendría >","2 conjugation",""
"I would put","pondría >","2 conjugation",""
"I would say","diría >","2 conjugation",""
"I would do","haría >","2 conjugation",""
"I seem","parezco ""","2 conjugation",""
"I choose","escojo ""","2 conjugation",""
"I pick","cojo ""","2 conjugation",""
"feeling","sintiendo ^","2 conjugation",""
"prefering","prefiriendo ^","2 conjugation",""
"I wear","visto ^","2 conjugation",""
"coming","viniendo ^","2 conjugation",""
"I follow","sigo ^","2 conjugation",""
"I send off","despido ^","2 conjugation",""
"I request","pido ^","2 conjugation",""
"lying","mintiendo ^","2 conjugation",""
"I repeat","repito ^","2 conjugation",""
"correcting","corrigiendo ^","2 conjugation",""
"I had eaten","había comido","2 conjugation",""
"you had eaten","habías comido","2 conjugation",""
"he had eaten","había comido","2 conjugation",""
"we had eaten","habíamos comido","2 conjugation",""
"youz had eaten","habían comido","2 conjugation",""
"they had eaten","habían comido","2 conjugation",""
"done","hecho","2 conjugation",""
"said","dicho","2 conjugation",""
"go sir!","vaya","2 conjugation",""
"a m:friend of mine","un amigo mío","2 syntax",""
"a f:friend of mine","una amiga mía","2 syntax",""
"some m:friends of mine","unos amigos míos","2 syntax",""
"some f:friends of mine","unas amigas mías","2 syntax",""
"a m:friend of yours","un amigo tuyo","2 syntax",""
"a f:friend of yours","una amiga tuya","2 syntax",""
"some m:friends of yours","unos amigos tuyos","2 syntax",""
"some f:friends of yours","unas amigas tuyas","2 syntax",""
"a m:friend of yoursz","un amigo suyo","2 syntax",""
"a f:friend of yoursz","una amiga suya","2 syntax",""
"some m:friends of yoursz","unos amigos suyos","2 syntax",""
"some f:friends of yoursz","unas amigas suyas","2 syntax",""
"a m:friend of his","un amigo suyo","2 syntax",""
"a f:friend of his","una amiga suya","2 syntax",""
"some m:friends of his","unos amigos suyos","2 syntax",""
"some f:friends of his","unas amigas suyas","2 syntax",""
"a m:friend of theirs","un amigo suyo","2 syntax",""
"a f:friend of theirs","una amiga suya","2 syntax",""
"some m:friends of theirs","unos amigos suyos","2 syntax",""
"some f:friends of theirs","unas amigas suyas","2 syntax",""
"a m:friend of ours","un amigo nuestro","2 syntax",""
"a f:friend of ours","una amiga nuestra","2 syntax",""
"some m:friends of ours","unos amigos nuestros","2 syntax",""
"some f:friends of ours","unas amigas nuestras","2 syntax",""
"the cold water","el agua fría","2 syntax",""
"a cold water","un agua fría","2 syntax",""
"the first book","el primer libro","2 syntax",""
"the third year","el tercer año","2 syntax",""
"father and son","padre e hijo","2 syntax",""
"subject or object","sujeto u objeto","2 syntax",""
"I pull / he pulled","jalo / jaló","2 syntax",""
"to lie / a lie / a liar","mentir / una mentira / un mentiroso","2 syntax",""
"holiday / holidays","vacación / vacaciones","2 syntax",""
"fast / very fast","rapido / rapidísimo","2 syntax",""
"when? / when..","cuándo / cuando","2 syntax",""
"what? / what..","qué / que","2 syntax",""
"where? / where..","dónde / donde","2 syntax",""
"Madrid is bigger than Oxford","Madrid es más grande que Oxford","2 pattern",""
"I could eat","podría comer","2 pattern",""
"I will eat","comeré","2 pattern",""
"I used to eat","comía","2 pattern",""
"I eat more than you","como más que tú","2 pattern",""
"I eat faster than you","como más rápido que tú","2 pattern",""
"Let's eat","comemos","2 pattern",""
"Eat!","come!","2 pattern",""
"I am eating","estoy comiendo","2 pattern",""
"I am still eating","estoy comiendo todavía ","2 pattern",""
"Don't eat!","no comas!","2 pattern",""
"I just ate","acabo de comer","2 pattern",""
"I was eating","estaba comiendo","2 pattern",""
"I ate","comí","2 pattern",""
"I have eaten","he comido","2 pattern",""
"I had eaten","había comido","2 pattern",""
"I liked <","me gusto","2 pattern",""
"I liked ~","me gustaba","2 pattern",""
"he likes it","a él le gusta","2 pattern",""
"he will like it","a él le gustara","2 pattern",""
"Australians like vegemite","a los australianos les gusta vegemite","2 pattern",""
"I am bored","estoy aburrido","2 pattern",""
"I am boring","soy aburrido","2 pattern",""
"he washes himself","él se ducha","2 pattern",""
"he washes her","él la ducha","2 pattern",""
"I get along well with my siblings","me llevo bien con hermanos","2 pattern",""
"you look like your brother","te pareces a tu hermano","2 pattern",""
"I look like my brother","me parezco a mi hermano","2 pattern",""
"she looks like your sister","ella se parece a tu hermana","2 pattern",""
"Australia is like America","Australia se parece a estados unidos","2 pattern",""
"he is very similar","él se parece mucho","2 pattern",""
"they are very similar","ellos se parecen mucho","2 pattern",""
"I wish to go","tengo ganas de ir","2 pattern",""
"I ask myself","me pregunto","2 pattern",""
"He ate her","se la comió","2 pattern",""
"was going to go","iba a ir","2 pattern",""
"strong","fuerte","2 adjective quality",""
"soft","suave","2 adjective quality",""
"special","especial","2 adjective quality",""
"brilliant","brillante","2 adjective quality",""
"favourite","favorito","2 adjective quality",""
"fair","justo","2 adjective quality",""
"boring","aburrido","2 adjective quality",""
"relaxing","relajante","2 adjective quality",""
"incredible","increíble","2 adjective quality",""
"real","real","2 adjective quality",""
"young","joven","2 adjective condition",""
"old","viejo","2 adjective condition",""
"little","chico","2 adjective condition",""
"broken","malogrado","2 adjective condition",""
"spicy","picante","2 adjective condition",""
"scary","miedoso","2 adjective condition",""
"raw","crudo","2 adjective condition",""
"ridiculous","ridículo","2 adjective condition",""
"rare","raro","2 adjective condition",""
"free","gratis","2 adjective state trade",""
"dry","seco","2 adjective state",""
"wet","mujado","2 adjective state",""
"pregnant","embarazada","2 adjective state love",""
"single","soltero","2 adjective state love",""
"dark","oscuro","2 adjective state",""
"full","lleno","2 adjective state",""
"distant","lejano","2 adjective state",""
"poor","pobre","2 adjective state",""
"ready","listo","2 adjective state",""
"drunk /2","en pedo","2 adjective state",""
"drunk /3","borracho","2 adjective state",""
"ill","enfermo","2 adjective state",""
"certain","cierto","2 adjective state",""
"complicated","complicado","2 adjective state",""
"prohibited","prohibido","2 adjective state",""
"possible","posible","2 adjective state",""
"impossible","imposible","2 adjective state",""
"final","final","2 adjective state",""
"available","libre","2 adjective state",""
"normal","normal","2 adjective state",""
"busy","ocupado","2 adjective state",""
"distracted","distraído","2 adjective state",""
"separated","separado","2 adjective state",""
"comfortable","cómodo","2 adjective emotion",""
"uncomfortable","incomodo","2 adjective emotion",""
"jealous","celoso","2 adjective emotion love",""
"healthy","saludable","2 adjective emotion",""
"tired","cansado","2 adjective emotion",""
"surprised","sorprendido","2 adjective emotion",""
"scared","miedo","2 adjective emotion",""
"excited","emocionado","2 adjective emotion",""
"relaxed","relajado","2 adjective emotion",""
"worried","preocupado","2 adjective emotion",""
"worried for you","preocupado por ti","2 adjective emotion",""
"disappointed","decepcionado","2 adjective emotion",""
"disappointing","decepcionante","2 adjective emotion",""
"envious","envidioso","2 adjective emotion",""
"sad","triste","2 adjective emotion",""
"embarrassing","vergonzoso","2 adjective emotion",""
"gentle","gentil","2 adjective personality",""
"sweet","dulce","2 adjective personality",""
"passionate","apasionado","2 adjective personality",""
"lazy @arg","bago","2 adjective personality",""
"slack","flojo","2 adjective personality slang",""
"stupid /2","tonto","2 adjective personality",""
"stupid /3","estúpido","2 adjective personality",""
"nice","simpático","2 adjective personality",""
"pleasant","agradable","2 adjective personality",""
"friendly","amistoso","2 adjective personality",""
"funny /4","divertido","2 adjective personality",""
"funny /3","chistoso","2 adjective personality",""
"fun","gracioso","2 adjective personality",""
"energetic","energético","2 adjective personality",""
"strict","estricto","2 adjective personality",""
"sociable","sociable","2 adjective personality",""
"creative","creativo","2 adjective personality",""
"authentic","auténtico","2 adjective personality",""
"fussy","exigente","2 adjective personality",""
"lazy /4","perezoso","2 adjective personality",""
"annoying","molesto","2 adjective personality",""
"rude","rudo","2 adjective personality",""
"playful","juguetón","2 adjective personality",""
"mischievous","travieso","2 adjective personality",""
"unfriendly","antipático","2 adjective personality",""
"grey","gris","2 adjective colour",""
"pink","rosado","2 adjective colour",""
"brown","marrón","2 adjective colour",""
"cute","lindo","2 adjective appearance",""
"pretty","bonito","2 adjective appearance",""
"beautiful /3","hermoso","2 adjective appearance",""
"beautiful /2","bello","2 adjective appearance",""
"handsome /p","guapo","2 adjective appearance",""
"handsome /r","churro","2 adjective appearance",""
"ugly","feo","2 adjective appearance",""
"fat","gordo","2 adjective appearance",""
"thin","delgado","2 adjective appearance",""
"short","corto","2 adjective appearance",""
"bald","calvo","2 adjective appearance",""
"blond","rubio","2 adjective appearance",""
"past","pasado","2 adjective temporal",""
"next","próximo","2 adjective temporal",""
"previous","última","2 adjective temporal",""
"recent","recién","2 adjective temporal",""
"following","siguiente","2 adjective temporal",""
"obvious","obvio","2 adjective",""
"own","propio","2 adjective",""
"negative","negativo","2 adjective",""
"minor","menor","2 adjective",""
"major","mayor","2 adjective",""
"an error","un error","2 noun language",""
"numbers","los números","2 noun language",""
"the dictionary","el diccionario","2 noun language",""
"the subway @arg","el subte","2 noun travel",""
"a bicycle","una bicicleta","2 noun travel",""
"a boat","un barco","2 noun travel",""
"a trip","un viaje","2 noun travel",""
"the holidays","las vacaciones","2 noun travel",""
"a suitcase","una maleta","2 noun travel",""
"a vacancy","una vacía","2 noun travel",""
"a motorbike","una moto","2 noun travel",""
"the path","el camino","2 noun travel",""
"a lock","una cerradura","2 noun travel",""
"a payment","una cuota","2 noun trade",""
"commission","una comisión","2 noun trade",""
"cash","el efectivo","2 noun trade",""
"the cost","la cuesta","2 noun trade",""
"a purse","un monedero","2 noun trade",""
"size","el tamaño","2 noun trade",""
"an offer","una oferta","2 noun trade",""
"the weekend","el fin de semana","2 noun time",""
"the day before yesterday ","el antes de ayer","2 noun time",""
"before","antes","2 noun time",""
"after","después","2 noun time",""
"last week","la semana pasada","2 noun time",""
"next week","le semana que viene","2 noun time",""
"the morning","la mañana","2 noun time",""
"the night","la noche","2 noun time",""
"midday","el mediodía","2 noun time",""
"midnight","la medianoche","2 noun time",""
"two times","dos veces","2 noun time",""
"a moment","un momento","2 noun time",""
"a jiffy","un momentito","2 noun time",""
"a clock","un reloj","2 noun time",""
"a prick","un carajo","2 noun people slang",""
"a group","un grupo","2 noun people",""
"the landlord","el dueño","2 noun people",""
"the majority","la mayoría","2 noun people",""
"the population","la población","2 noun people",""
"the neighbour","el vecino","2 noun people",""
"foreigners","los extranjeros","2 noun people",""
"a liar","un mentiroso","2 noun people",""
"a gentleman","un caballero","2 noun people",""
"an idiot","un/una idiota","2 noun people",""
"a bebé","un bebé","2 noun people",""
"a bitch","una puta","2 noun people slang",""
"an ugly woman","una fea","2 noun love slang",""
"arse","la cola","2 noun love slang",""
"boobs","los senos","2 noun love slang",""
"tits","las tetas","2 noun love slang",""
"cock","la pinga","2 noun love slang",""
"a girlfriend @chile","una polola","2 noun love slang",""
"a couple","una pareja","2 noun love",""
"dearest","querido","2 noun love",""
"m:darling","cariño","2 noun love",""
"f:darling","cariño","2 noun love",""
"a romantic date","una cita","2 noun love",""
"comfort zone","la zona de confort","2 noun love",""
"sex","el sexo","2 noun love",""
"a condom /5","un preservativo","2 noun love",""
"a secret","un secreto","2 noun love",""
"a birthday","un cumpleaños ","2 noun love",""
"a present","un regalo","2 noun love",""
"a punishment","un castigo","2 noun love",""
"a position","una posición","2 noun love",""
"vagina","la vagina","2 noun love",""
"penis","el pene","2 noun love",""
"jealousy","los celos","2 noun love",""
"bacon","el tocino","2 noun food",""
"famous snacks @arg","alfajor con dulce leche","2 noun food",""
"brain to eat @bolivia","el seso","2 noun food",""
"popcorn @bolivia","la pi-poca","2 noun food",""
"a spicy empanada @bolivia","una salteña","2 noun food",""
"mini cheese roll @bolivia","el cuñape","2 noun food",""
"sweet green fruit @peru","una chirimoya","2 noun food",""
"like chirimoya @peru","una guanábana","2 noun food",""
"fruit like custard @peru","la lúcuma","2 noun food",""
"raw fish @peru","el ceviche","2 noun food",""
"deep fried seafood @peru","el chicharron","2 noun food",""
"fried rice @peru","la chaufa","2 noun food",""
"beans","los frijoles","2 noun food",""
"noodles","los fideos","2 noun food",""
"herbs","las yerbas","2 noun food",""
"frozen goods","los congelados","2 noun food",""
"dessert","los postres","2 noun food",""
"an avocado","una palta","2 noun food",""
"a mango","un mango","2 noun food",""
"a watermelon","una sandía","2 noun food",""
"papaya","la papaya","2 noun food",""
"strawberries","las fresas","2 noun food",""
"a lime","una lima","2 noun food",""
"an onion","una cebolla","2 noun food",""
"lettuce","la lechuga","2 noun food",""
"a tomato","un tomate","2 noun food",""
"a lemon","un limón","2 noun food",""
"corn","el choclo","2 noun food",""
"spinach","la espinaca","2 noun food",""
"olives","las aceitunas","2 noun food",""
"garlic","el ajo","2 noun food",""
"chewing gum","el chicle","2 noun food",""
"a cake /2","una torta","2 noun food",""
"a cake /3","una pastilla","2 noun food",""
"a fried bread stick","un churro","2 noun food",""
"seafood","los mariscos","2 noun food",""
"an omelette","una tortilla","2 noun food",""
"a fillet","un filete","2 noun food",""
"beef with soy sauce @peru","lomo saltado","2 noun food",""
"a steak","un bistec","2 noun food",""
"crumbed beef @peru","la milanesa","2 noun food",""
"ham","el jamón","2 noun food",""
"a salad","una ensalada","2 noun food",""
"oil","el aceite","2 noun food",""
"squid","el calamar","2 noun food",""
"a hamburger","una hamburguesa","2 noun food",""
"pork","la chancha","2 noun food",""
"sweet peach juice @bolivia","mocochinchi","2 noun drinks",""
"heavy maize drink @bolivia","chicha","2 noun drinks",""
"the body","el cuerpo","2 noun body",""
"head","la cabeza","2 noun body",""
"hair /2","el pelo","2 noun body",""
"face","la cara","2 noun body",""
"ears","las orejas","2 noun body",""
"nose","la nariz","2 noun body",""
"cheeks","las mejillas","2 noun body",""
"mouth","la boca","2 noun body",""
"smile","la sonrisa","2 noun body",""
"lips","los labios","2 noun body",""
"tongue","la lengua","2 noun body",""
"tooth","el diente","2 noun body",""
"teeth","los dientes","2 noun body",""
"neck","el cuello","2 noun body",""
"back","la espalda","2 noun body",""
"heart","el corazón","2 noun body",""
"arms","los brazos","2 noun body",""
"hands","las manos","2 noun body",""
"stomach","el estomago","2 noun body",""
"legs","las piernas","2 noun body",""
"knees","las rodillas","2 noun body",""
"feet","los pies","2 noun body",""
"toes","los dedos del pie","2 noun body",""
"tail","la cola","2 noun body",""
