english_word,spanish_word,idk,idk
"throat","la garganta","2 noun body",""
"chest","el pecho","2 noun body",""
"a sombrero","un sombrero","2 noun clothes",""
"a cap","un gorro","2 noun clothes",""
"a scarf","una bufanda","2 noun clothes",""
"a shirt","una camisa","2 noun clothes",""
"a tshirt /4","una camiseta","2 noun clothes",""
"a mini top","un bolero","2 noun clothes",""
"skirt","la falda","2 noun clothes",""
"sneakers","las zapatillas","2 noun clothes",""
"boots","las botas","2 noun clothes",""
"glasses /4","los anteojos","2 noun clothes",""
"glasses /2","las gafas","2 noun clothes",""
"glasses /t","los lentes","2 noun clothes",""
"sunglasses /f","las gafas de sol","2 noun clothes",""
"sunglasses /t","los lentes de sol","2 noun clothes",""
"a ring","un anillo","2 noun clothes",""
"a handbag","una cartera","2 noun clothes",""
"a cup","una taza","2 noun house",""
"a glass","un vaso","2 noun house",""
"a bowl","el tazón","2 noun house",""
"laundry","la lavandería","2 noun house",""
"floor","el piso","2 noun house",""
"hall","la sala","2 noun house",""
"window","la ventana","2 noun house",""
"stairs","la escalera","2 noun house",""
"a chair","una silla","2 noun house",""
"umbrella","un paraguas","2 noun house",""
"blanket","la manta","2 noun house",""
"sheets","las sábanas","2 noun house",""
"garbage","la basura","2 noun house",""
"fridge","el refrigerador","2 noun house",""
"toilet","el inodoro","2 noun house",""
"basin","el lavador","2 noun house",""
"a towell","una toalla","2 noun house",""
"light","la luz","2 noun house",""
"a table","una mesa","2 noun house",""
"an apartment","un apartemento","2 noun house",""
"the fridge","el refrigerador","2 noun house",""
"desk /3","la carpeta","2 noun house",""
"animals","los animales","2 noun animals",""
"pets","las mascotas","2 noun animals",""
"a dinosaur","un dinosaurio","2 noun animals",""
"a shark","un tiburón","2 noun animals",""
"a dolphin","un delfín","2 noun animals",""
"monkeys","los monos","2 noun animals",""
"a horse","un caballo","2 noun animals",""
"a fish","una pesca","2 noun animals",""
"a kitten","un gatito","2 noun animals",""
"a parrot","un loro","2 noun animals",""
"a sloth","un perezoso","2 noun animals",""
"a pigeon","una paloma","2 noun animals",""
"a bird","un ave","2 noun animals",""
"a kangaroo","un canguro","2 noun animals",""
"a cow","una baca","2 noun animals",""
"a spider","una araña","2 noun animals",""
"a rabbit","un conejo","2 noun animals",""
"the climate","el clima","2 noun nature",""
"desert","el desierto","2 noun nature",""
"the landscape","los paisajes","2 noun nature",""
"a garden","un jardín","2 noun nature",""
"a hill :f","una colina","2 noun nature",""
"a hill :m","un cerro","2 noun nature",""
"a rock","una piedra","2 noun nature",""
"the sky","el cielo","2 noun nature",""
"an island","una isla","2 noun nature",""
"the forest","la selva","2 noun nature",""
"the shadow","la sombra","2 noun nature",""
"a company","una compañía","2 noun business",""
"the office","la oficina","2 noun business",""
"an idea","una idea","2 noun business",""
"the boss","el jefe","2 noun business",""
"the manager","el gerente","2 noun business",""
"an employee","un trabajador","2 noun business",""
"a workmate","un compañero de trabajo","2 noun business",""
"a colleague","un/una colega","2 noun business",""
"a plan","un plan","2 noun business",""
"paper","el papel","2 noun business",""
"cardboard","el cartón","2 noun business",""
"results","resultados","2 noun business",""
"a deal","un trato","2 noun business",""
"a meeting","una reunión","2 noun business",""
"a night club @arg","un boliche","2 noun entertainment",""
"music","la música","2 noun entertainment",""
"programming","la programación","2 noun entertainment",""
"the theatre","el teatro","2 noun entertainment",""
"a cartoon","un dibujo","2 noun entertainment",""
"a television","un televisor","2 noun entertainment",""
"a soapy","una novela","2 noun entertainment",""
"night life","la vida nocturna","2 noun entertainment",""
"the zoo","el zoológico","2 noun entertainment",""
"a band","una banda","2 noun entertainment",""
"a song","una canción","2 noun entertainment",""
"the lyrics","la letra","2 noun entertainment",""
"an instrument","un instrumento","2 noun entertainment",""
"family","la familia","2 noun family",""
"relatives","los parientes","2 noun family",""
"mother","la madre","2 noun family",""
"father","el padre","2 noun family",""
"a sister","una hermana","2 noun family",""
"a brother","un hermano","2 noun family",""
"a daughter","una hija","2 noun family",""
"a son","un hijo","2 noun family",""
"a wife","una esposa","2 noun family",""
"a husband","un esposo","2 noun family",""
"a f:cousin","una prima","2 noun family",""
"a m:cousin","un primo","2 noun family",""
"a nephew","un sobrino","2 noun family",""
"a niece","una sobrina","2 noun family",""
"grandmother","la abuela","2 noun family",""
"grandfather","el abuelo","2 noun family",""
"a granddaughter","una nieta","2 noun family",""
"a grandson","un nieto","2 noun family",""
"an aunt","una tía","2 noun family",""
"an uncle","un tío","2 noun family",""
"dad","el papá","2 noun family",""
"mum","la mamá","2 noun family",""
"brother in law","el cuñado","2 noun family",""
"sister in law","la cuñada","2 noun family",""
"a drug","una droga","2 noun health",""
"a cough","una tos","2 noun health",""
"the flu","la gripe","2 noun health",""
"a cream","una crema","2 noun health",""
"sunscreen","el bloqueador del sol","2 noun health",""
"cigarettes","los cigarros","2 noun health",""
"toothpaste","la pasta dental","2 noun health",""
"hospital","el hospital","2 noun health",""
"pain","el dolor","2 noun health",""
"the mind","la mente","2 noun intangible",""
"respect","el respeto","2 noun intangible",""
"confidence","la confianza","2 noun intangible",""
"quality","la calidad","2 noun intangible",""
"curiosity","la curiosidad","2 noun intangible",""
"patience","la paciencia","2 noun intangible",""
"security","la seguridad","2 noun intangible",""
"power","el poder","2 noun intangible",""
"ability","la habilidad","2 noun intangible",""
"hunger","el f:hambre","2 noun intangible",""
"anger","la cólera","2 noun intangible",""
"laughter","la risa","2 noun intangible",""
"magic","la magia","2 noun intangible",""
"the truth","la verdad","2 noun intangible",""
"the norm","la norma","2 noun intangible",""
"reality","la realidad","2 noun intangible",""
"opportunity","la oportunidad","2 noun intangible",""
"a m:singer","un cantante","2 noun job",""
"a f:singer","una cantante","2 noun job",""
"an actor","un actor","2 noun job",""
"an actress","una actriz","2 noun job",""
"an accountant","un contador","2 noun job",""
"an engineer","un ingeniero","2 noun job",""
"a lawyer","un abogado","2 noun job",""
"a doctor","un médico","2 noun job",""
"a m:teacher","un profesor","2 noun job",""
"a f:teacher","una profesora","2 noun job",""
"a guide","un guía","2 noun job",""
"a cashier","un cajero","2 noun job",""
"the police","la policía","2 noun job",""
"the driver","el conductor","2 noun job",""
"an m:artist","un artista","2 noun job",""
"an f:artist","una artista","2 noun job",""
"a reader","un lector","2 noun job",""
"a bullfighter","un torero","2 noun job",""
"a philosopher","un filósofo","2 noun job",""
"a f:dancer","una bailarina","2 noun job",""
"a m:dancer","un bailarín","2 noun job",""
"a backpacker","un mochilero","2 noun job",""
"an adventurer","un aventurero","2 noun job",""
"a m:surfer","un surfista","2 noun job",""
"a f:surfer","una surfista","2 noun job",""
"a player","un jugador","2 noun job",""
"a f:thief","una ladrona","2 noun job",""
"a m:thief","un ladrón","2 noun job",""
"north","el norte","2 noun navigation",""
"south","el sur","2 noun navigation",""
"east","el este","2 noun navigation",""
"west","el oeste","2 noun navigation",""
"the bottom","el bajo","2 noun navigation",""
"the top","la cima","2 noun navigation",""
"the side","el lado","2 noun navigation",""
"distance","la distancia","2 noun navigation",""
"the front","el frente","2 noun navigation",""
"the suburbs","los barrios","2 noun place",""
"a shopping fair","una feria","2 noun place",""
"the bridge","el puente","2 noun place",""
"a juice shop","una jugería","2 noun place",""
"the post office","el correo","2 noun place",""
"a site","un sitio","2 noun place",""
"sport","el deporte","2 noun sport",""
"soccer","el fútbol","2 noun sport",""
"a game","un partido","2 noun sport",""
"a team","un equipo","2 noun sport",""
"a ball","una pelota","2 noun sport",""
"a wave","una onda","2 noun sport",""
"a surfboard","una tabla de surf","2 noun sport",""
"a student","un estudiante","2 noun study",""
"a scholar","un alumno","2 noun study",""
"school /3","la facultad","2 noun study",""
"an exam","una prueba","2 noun study",""
"a page","una página","2 noun study",""
"a level","un nivel","2 noun study",""
"a class","una clase","2 noun study",""
"computer","la computadora","2 noun technology",""
"the code","el código","2 noun technology",""
"a signal","una señal","2 noun technology",""
"colours","los colores","2 noun",""
"checkout","la caja","2 noun",""
"a bbq","un asado","2 noun",""
"a heap","un montón","2 noun",""
"a nickname x2","un sobre nombre","2 noun",""
"a nickname x1","un apodo","2 noun",""
"a letter","una carta","2 noun",""
"a joke :m","un chiste","2 noun",""
"body language","el lenguaje corporal","2 noun",""
"an opinion","una opinión","2 noun",""
"an interview","una entrevista","2 noun",""
"a request","un pedido","2 noun",""
"a tattoo","un tatuaje","2 noun",""
"a toast","un brindis","2 noun",""
"a trick","un truque","2 noun",""
"vehicles","los vehículos","2 noun",""
"way of life","forma de vivir","2 noun",""
"the remainder","la resta","2 noun",""
"detail","el detalle","2 noun",""
"a mix","una mezcla","2 noun",""
"an action","una acción","2 noun",""
"a situation","una situación","2 noun",""
"a deity","un dios","2 noun",""
"the good stuff","lo bueno","2 noun",""
"the real one","el verdadero","2 noun",""
"the fault","la culpa","2 noun",""
"a theme","una tema","2 noun",""
"bad news","mal noticias","2 noun",""
"the weight","el peso","2 noun",""
"the background","el fondo","2 noun",""
"a visit","una visita","2 noun",""
"a shock","un choc","2 noun",""
"a manner","una manera","2 noun",""
"noise","el ruido","2 noun",""
"a dot","un punto","2 noun",""
"an apology","una disculpa","2 noun",""
"a shame","una lastima","2 noun",""
"a dream","un sueño","2 noun",""
"characteristics","las características","2 noun",""
"a wheel","una rueda","2 noun",""
"the war","la guerra","2 noun",""
"a look","una mirada","2 noun",""
"a response","una respuesta","2 noun",""
"a type","un tipo","2 noun",""
"way","la forma","2 noun",""
"the finish","el fin","2 noun",""
"an accident","el accidente","2 noun",""
"a line","una línea","2 noun",""
"age","la edad","2 noun",""
"a rule","una regla","2 noun",""
"Castilian","Castellano","2 name language",""
"Australia","la Australia","2 name country",""
"Japan","el Japón","2 name country",""
"Korea","la Corea","2 name country",""
"England","la Inglaterra","2 name country",""
"France","la Francia","2 name country",""
"Germany","la Alemania","2 name country",""
"Africa","la África","2 name country",""
"Morocco","los Marruecos","2 name country",""
"Egypt","el Egipto","2 name country",""
"summer","el verano","2 name date",""
"spring","la primavera","2 name date",""
"autumn","el otoño","2 name date",""
"winter","el invierno","2 name date",""
"christmas","la navidad","2 name date",""
"an australian","un australiano","2 name demonym",""
"a peruvian","un peruano","2 name demonym",""
"a bolivian","un boliviano","2 name demonym",""
"an argentinian","un argentino","2 name demonym",""
"a chilean","un chileno","2 name demonym",""
"a brazilian","un brasileño","2 name demonym",""
"a mexican","un mexicano","2 name demonym",""
"an asian","un asiático","2 name demonym",""
"a chinese","un chino","2 name demonym",""
"a korean","un coreano","2 name demonym",""
"a japanese","un japonés","2 name demonym",""
"an englishman","un inglés","2 name demonym",""
"a frenchman","un francés","2 name demonym",""
"a german","un alemán","2 name demonym",""
"a spaniard","un español","2 name demonym",""
"an italian","un italiano","2 name demonym",""
"a russian","un ruso","2 name demonym",""
"a north american","un norte americano","2 name demonym",""
"a US american","un estadounidense","2 name demonym",""
"a canadian","un canadiense","2 name demonym",""
"regards","saludos","3 interjection",""
"not at all","no del todo","3 phrase",""
"just do it","solo hacerlo","3 phrase",""
"it's dark","está oscuro","3 phrase",""
"I feel like i`m 24","me siento de 24 años","3 phrase",""
"I`m having fun","me estoy divirtiendo","3 phrase",""
"he`s a character","es un personaje","3 phrase",""
"along this street","por esta calle","3 phrase",""
"the path to success","el camino del éxito","3 phrase",""
"Its her loss","ella se lo pierde","3 idiom love",""
"for nothing @bolivia","de gana","3 idiom slang",""
"no way","no te creo","3 idiom",""
"just in case","por sea caso","3 idiom",""
"the sun is biting @arg","pica el sol","3 idiom",""
"for heaven's sake","por todos los cielos","3 idiom",""
"join us!","hacete amigo","3 idiom",""
"I can't continue","ya no jalo","3 idiom",""
"whatever happens","pase lo que pasa","3 idiom",""
"immediately /2","así que","3 adverb temporal",""
"apparently","al parecer","3 adverb",""
"splendidly","espléndidamente","3 adverb",""
"forcefully","forzadamente","3 adverb",""
"attentively","atentamente","3 adverb",""
"innocently","inocentement","3 adverb",""
"in fact","de hecho","3 conjunction",""
"besides","además","3 conjunction",""
"similarly","asimismo","3 conjunction",""
"across","a través","3 preposition",""
"in front of","adelante de","3 preposition",""
"to surpass","superar","3 verb passive",""
"to consider","considerar","3 verb passive",""
"to exist","existir","3 verb passive",""
"to become /l","volverse /","3 verb passive",""
"to become /c","hacerse g<>","3 verb passive",""
"to appear","aparecer ""","3 verb passive",""
"to disappear","desaparecer ""","3 verb passive",""
"to like a person","caerse ""=","3 verb passive",""
"to allow","dejarse","3 verb passive",""
"to suffer","sufrir","3 verb passive",""
"to focus","enfocar ""","3 verb passive",""
"to savour","saborear","3 verb passive",""
"to enamor","enamorar","3 verb passive",""
"to envy","envidiar","3 verb passive",""
"to please","agradar","3 verb passive",""
"to suffice","bastar","3 verb passive",""
"to trouble","turbar","3 verb passive",""
"to occur","occurir","3 verb passive",""
"to descend","descender /","3 verb motive",""
"to flee","fugar ""","3 verb motive",""
"to accelerate","acelerar","3 verb motive",""
"to place","meter","3 verb motive",""
"to run away","huir ""","3 verb motive",""
"to move away","alejarse","3 verb motive",""
"to approach","acercarse","3 verb motive",""
"to advance","avanzar","3 verb motive",""
"to wink","guiñar","3 verb communicative",""
"to tease","tomar el pelo","3 verb communicative",""
"to scream","chillar","3 verb communicative",""
"to agree","acordar","3 verb communicative",""
"to permit","permitir","3 verb communicative",""
"to tell","enterrar","3 verb communicative",""
"to propose","proponer g<>","3 verb communicative",""
"to take notes","anotar","3 verb communicative",""
"to terrify","aterrorizar ""","3 verb communicative",""
"to enumerate","enumerar","3 verb communicative",""
"to insinuate","insinuar ""","3 verb communicative",""
"to narate","narrar","3 verb communicative",""
"to mock","burlar","3 verb communicative",""
"to translate","traducir ""","3 verb communicative",""
"to blame","culpar","3 verb communicative",""
"to accede","acceder","3 verb communicative",""
"to vow","jurar","3 verb communicative",""
"to astound","asombrar","3 verb communicative",""
"to dominate","dominar","3 verb active love",""
"to whip","azotar","3 verb active love",""
"to caress","acariciar","3 verb active love",""
"to bite","morder /","3 verb active love",""
"to suck","chupar","3 verb active love",""
"to suck out","succionar","3 verb active love",""
"to masturbate","masturbar","3 verb active love",""
"to lick","lamer","3 verb active love",""
"to rub","rozar ""","3 verb active love",""
"to throb","latir","3 verb active love",""
"to cheat","engañar","3 verb active love",""
"to violate","violar","3 verb active love",""
"to punish","castigar","3 verb active love",""
"to sail","marear","3 verb active sport",""
"to transact","tramitar","3 verb active",""
"to join","juntar","3 verb active",""
"to secure","asegurar","3 verb active",""
"to manage","manejar","3 verb active",""
"to grow up","crecer ""","3 verb active",""
"to signal","señalar","3 verb active",""
"to flood","inundar","3 verb active",""
"to delay","demorar","3 verb active",""
"to enable","facilitar","3 verb active",""
"to unite","unir","3 verb active",""
"to bark","ladrar","3 verb active",""
"to edit","editar","3 verb active",""
"to feed","alimentar","3 verb active",""
"to shave :m","afeitar","3 verb active",""
"to shave :f","depilar","3 verb active",""
"to exploit","aprovechar","3 verb active",""
"to combine","combinar","3 verb active",""
"to obtain /n","obtener /g<>","3 verb active",""
"to obtain /g","conseguir ^""","3 verb active",""
"to stretch","estirar","3 verb active",""
"to repair","reparar","3 verb active",""
"to hesitate","vacilar","3 verb active",""
"to grasp","agarrar","3 verb active",""
"to clap","palmotear","3 verb active",""
"to sweat","sudar","3 verb active",""
"to shed tears","lagrimear","3 verb active",""
"to snow","nevar /","3 verb active",""
"to treat","tratar","3 verb active",""
"to overthrow","derrumbar","3 verb active",""
"to enclose","encerrar","3 verb active",""
"to avenge","vengar ""","3 verb active",""
"to choke","atorar /","3 verb active",""
"to burn","quemar","3 verb active",""
"to load","cargar","3 verb active",""
"to download","descargar","3 verb active",""
"to build","construir ""","3 verb active",""
"to crouch","acurrucar","3 verb active",""
"to skip","brincar","3 verb active",""
"to lean","apoyar","3 verb active",""
"to peel","pelar","3 verb active",""
"to part","apartar","3 verb active",""
"to look around","mirar alrededor","3 combo",""
"I brought <","traje <","3 conjugation",""
"I feel like eating","me provoca comer","3 pattern",""
"the one who earns more","el que más gana dinero","3 pattern",""
"the one who runs more","el que más corre","3 pattern",""
"fine","fino","3 adjective quality",""
"magical","mágico","3 adjective condition",""
"celestial","celeste","3 adjective condition",""
"troublesome","dificultoso","3 adjective condition",""
"scandelous","escandaloso","3 adjective condition",""
"fashionable","de moda","3 adjective condition",""
"exhausting","agotador","3 adjective condition",""
"coherent","coherente","3 adjective condition",""
"well cooked","bien cocido","3 adjective condition",""
"deep /3","profundo","3 adjective state",""
"deep /2","hondo","3 adjective state",""
"missing","perdido","3 adjective state",""
"reserved","reservado","3 adjective state",""
"disoriented","desubicado","3 adjective state",""
"involved","involucrado","3 adjective state",""
"loaded","cargado","3 adjective state",""
"controversial","polémico","3 adjective state",""
"waterproof","impermeable","3 adjective state",""
"unfinished","desconstruido","3 adjective state",""
"dignified","digno","3 adjective state",""
"taken","prestado","3 adjective state",""
"amazed","asombrado","3 adjective emotion",""
"gratifying","halagado","3 adjective emotion",""
"naughty","pícaro","3 adjective personality",""
"confident","confiado","3 adjective personality",""
"reserved personality","callado","3 adjective personality",""
"talkative","hablador","3 adjective personality",""
"active","activo","3 adjective personality",""
"arrogant","soberbio","3 adjective personality",""
"selfish","egoísta","3 adjective personality",""
"bitter sweet","agridulce","3 adjective personality",""
"punctual ","puntual","3 adjective personality",""
"credulous","creído","3 adjective personality",""
"humble","humilde","3 adjective personality",""
"secretive","escondido","3 adjective personality",""
"spoilt","engreido","3 adjective personality",""
"dark skinned","moreno","3 adjective appearance",""
"joint","solitario","3 adjective",""
"a noun","un sustantivo","3 noun language",""
"a pronoun","un pronombre","3 noun language",""
"an adjective","un adjetivo","3 noun language",""
"a verb","un verbo","3 noun language",""
"an adverb","un adverbio","3 noun language",""
"conjugations","las conjugaciones","3 noun language",""
"vowels","las vocales","3 noun language",""
"consonants","las consonantes","3 noun language",""
"the plural","el plural","3 noun language",""
"a sentence","una oración","3 noun language",""
"syllables","las sílabas","3 noun language",""
"slang","la jerga","3 noun language",""
"an acute accent","una tilde","3 noun language",""
"a conjugation","una conjugación","3 noun language",""
"linguistics","la lingüística","3 noun language",""
"a flag","una bandera","3 noun travel",""
"to lower","rebajar","3 noun trade",""
"a period","una época","3 noun time",""
"a citizen","un ciudadano","3 noun people",""
"a jew","un judío","3 noun people",""
"an authority","una autoridad","3 noun people",""
"a complainer","un quejoso","3 noun people",""
"a bad guy","un maleante","3 noun people",""
"a rude person","un malcriado","3 noun people",""
"a rough person","un tosco","3 noun people",""
"a gang","una pandilla","3 noun people",""
"an enemy","un enemigo","3 noun people",""
"a shameless person @peru","un conchudo","3 noun people slang",""
"a cheater @peru","un pendejo","3 noun love slang",""
"a gold digger @peru","una brichera","3 noun love slang",""
"a mistress","una amante","3 noun love slang",""
"pussy","la chucha","3 noun love slang",""
"slut","una cachera","3 noun love slang",""
"honeymoon","la luna de miel","3 noun love",""
"unrequited love","los amores no correspondidos","3 noun love",""
"a g-string","un hilo dental","3 noun love",""
"chastity","la pureza","3 noun love",""
"a cabbage","un repollo","3 noun food",""
"turkey","el pavo","3 noun food",""
"meat pasta soup @bolivia","gueso","3 noun food",""
"bolivian potato stew @bolivia","papalisa","3 noun food",""
"snacks","los aperitivos","3 noun food",""
"barley","la cebada","3 noun food",""
"aromatic tea","las aguas aromáticas","3 noun drinks",""
"hair /3","el cabello","3 noun body",""
"jaw","la mandíbula","3 noun body",""
"shoulders","los hombros","3 noun body",""
"fingers","los dedos","3 noun body",""
"nails","las uñas","3 noun body",""
"waist","la cintura","3 noun body",""
"hips","las caderas","3 noun body",""
"bottom","el trasero","3 noun body",""
"lap","las faldas","3 noun body",""
"skull","el cráneo","3 noun body",""
"brain","el cerebro","3 noun body",""
"eyelid","el párpado","3 noun body",""
"a hairpin","un gancho","3 noun clothes",""
"earrings","los aretes","3 noun clothes",""
"a veil","un velo","3 noun clothes",""
"pockets","los bolsillos","3 noun clothes",""
"sleeves","las mangas","3 noun clothes",""
"jewelry","las joyas","3 noun clothes",""
"oven","el horno","3 noun house",""
"chimney","la chimenea","3 noun house",""
"desk /5","el escritorio","3 noun house",""
"heater","el calentador","3 noun house",""
"picture","el retrato","3 noun house",""
"pillow","la almohada","3 noun house",""
"mattress","el colchón","3 noun house",""
"a bottle top","una chapa","3 noun house",""
"a broom","una escoba","3 noun house",""
"a knob","un pomo","3 noun house",""
"a hair dryer","un secador de pelo","3 noun house",""
"cutlery","los cubiertos","3 noun house",""
"a brick","un ladrillo","3 noun house",""
"an owl","una lechuza","3 noun animals",""
"a puppy","un cachorro","3 noun animals",""
"a whale","una ballena","3 noun animals",""
"a goat","una cabra","3 noun animals",""
"a turkey","un pavo","3 noun animals",""
"a fox","un zorro","3 noun animals",""
"a frog","una rana","3 noun animals",""
"a skunk","un zorrillo","3 noun animals",""
"a raccoon","un mapache","3 noun animals",""
"a mouse","un ratón","3 noun animals",""
"a fawn","un gamo","3 noun animals",""
"an octopus","un pulpo","3 noun animals",""
"a wolf","un lobo","3 noun animals",""
"timber","la madera","3 noun nature",""
"waterfall","la catarata","3 noun nature",""
"a leaf","una hoja","3 noun nature",""
"the mist","la neblina","3 noun nature",""
"the grass","la grama","3 noun nature",""
"the shore","la orilla","3 noun nature",""
"a drought","una sequía","3 noun nature",""
"a flood","una inundación","3 noun nature",""
"a flame","una llama","3 noun nature",""
"a jet of water","un chorro","3 noun nature",""
"a feather","una pluma","3 noun nature",""
"a seed","una semilla","3 noun nature",""
"a sunflower","un girasol","3 noun nature",""
"the woods","el bosque","3 noun nature",""
"foilage","el follaje","3 noun nature",""
"human resources","recursos humanos","3 noun business",""
"planning","el planteamiento","3 noun business",""
"sales","las ventas","3 noun business",""
"value","el valor","3 noun business",""
"a design","un diseño","3 noun business",""
"a creation","una obra","3 noun business",""
"a profit","un provecho","3 noun business",""
"an agreement","un acuerdo","3 noun business",""
"the law","el derecho","3 noun business",""
"law firm","estudio jurídico","3 noun business",""
"an advantage","una ventaja","3 noun business",""
"a learning experience","un aprendizaje","3 noun business",""
"a collection","un cobro","3 noun entertainment",""
"board games","los juegos de mesa","3 noun entertainment",""
"chess","el ajedrez","3 noun entertainment",""
"Buddhism","el budismo","3 noun entertainment",""
"a seat","una butaca","3 noun entertainment",""
"a television channel","un canal de televisión","3 noun entertainment",""
"a hangover","una resaca","3 noun entertainment",""
"a binge","una juerga","3 noun entertainment",""
"the smurfs","los pitufos","3 noun entertainment",""
"the flute","la flauta","3 noun entertainment",""
"expos","las exposiciones","3 noun entertainment",""
"a drum","una batería","3 noun entertainment",""
"step-mother","la madrastra","3 noun family",""
"step-father","el padrastro","3 noun family",""
"god-mother","la madrina","3 noun family",""
"god-father","el padrino","3 noun family",""
"mother in law","la suegra","3 noun family",""
"father in law","el suegro","3 noun family",""
"the hiccups","el hipo","3 noun health",""
"complexion","la tez","3 noun health",""
"a scar","una cicatriz","3 noun health",""
"a pimple","un granito","3 noun health",""
"eucalyptus","el eucalipto","3 noun health",""
"friendship","la amistad","3 noun intangible",""
"friendliness","la amabilidad","3 noun intangible",""
"wickedness","la maldad","3 noun intangible",""
"humility","la humildad","3 noun intangible",""
"beauty","la belleza","3 noun intangible",""
"vengeance","la venganza","3 noun intangible",""
"pain","la pena","3 noun intangible",""
"death","la muerte","3 noun intangible",""
"personality","la personalidad","3 noun intangible",""
"embarrassment","la vergüenza","3 noun intangible",""
"reverence","la reverencia","3 noun intangible",""
"wisdom","la sabiduría","3 noun intangible",""
"support","el sostén","3 noun intangible",""
"the subconscious","el inconsciente","3 noun intangible",""
"faith","la fe","3 noun intangible",""
"an artisan","un artesano","3 noun job",""
"a magician","un mago","3 noun job",""
"a witch","una bruja","3 noun job",""
"a traffic sign","una señal de tráfico","3 noun navigation",""
"the pier","el malecón","3 noun place",""
"the tower","la torre","3 noun place",""
"a castle","un castillo","3 noun place",""
"a field","una cancha","3 noun sport",""
"tennis courts","las canchas de tenis","3 noun sport",""
"a running race","una carrera","3 noun sport",""
"laps","las vueltas","3 noun sport",""
"a triumph","un triunfo","3 noun sport",""
"a hunter","un cazador","3 noun sport",""
"a throw","un tiro","3 noun sport",""
"a dart","un dardo","3 noun sport",""
"an arrow","una flecha","3 noun sport",""
"a hike","una caminata","3 noun sport",""
"a kick","una patada","3 noun sport",""
"chemistry","la química","3 noun study",""
"a degree","una licenciatura","3 noun study",""
"a phd","un doctorado","3 noun study",""
"a lab","un laboratorio","3 noun study",""
"a scholarship","una beca","3 noun study",""
"a database","una base de datos","3 noun technology",""
"a key on a keyboard","una tecla","3 noun technology",""
"a computer keyboard","un teclado","3 noun technology",""
"replacements","los repuestos","3 noun technology",""
"headphones","los audiofonos","3 noun technology",""
"a machine","una máquina","3 noun technology",""
"the width","el ancho","3 noun",""
"a teddy bear","un osito","3 noun",""
"a soul","una alma","3 noun",""
"a strip","una tira","3 noun",""
"a force","una fuerza","3 noun",""
"a challenge","un reto","3 noun",""
"behaviour","el comportamiento","3 noun",""
"sweetness","la dulzura","3 noun",""
"a wand","una varita","3 noun",""
"a memory","un recuerdo","3 noun",""
"a flaw","una falla","3 noun",""
"pulse","el pulso","3 noun",""
"gravity","la gravedad","3 noun",""
"damage","el daño","3 noun",""
"a measurement","una medida","3 noun",""
"architecture","la arquitectura","3 noun",""
"marble","el mármol","3 noun",""
"topic","el asunto","3 noun",""
"a blow","un golpe","3 noun",""
"a fright","un susto","3 noun",""
"a trail","un sendero","3 noun",""
"to pertain to","pertenecer","4 verb passive",""
"capitals","las mayúsculas","4 noun language",""
